loan_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,pub_rec_bankruptcies,year,is_default,outstanding_principal,net_credit_loss,risk_segment,risk_adjusted_revenue,income_group,dti_group
10000, 60 months,14.08,233.1,C,C3,MORTGAGE,71000.0,2017-09-01,Current,debt_consolidation,NJ,15.94,0.0,0.0,3954.88,2164.06,1790.82,0.0,0.0,0.0,2017,0,7835.9400000000005,0.0,Medium Risk,1790.82,40k-80k,10-20
9450, 36 months,16.55,334.81,D,D2,RENT,31500.0,2015-04-01,Fully Paid,debt_consolidation,CA,29.87,0.0,0.0,9635.4,9450.0,185.4,0.0,0.0,1.0,2015,0,0.0,0.0,High Risk,185.4,<40k,20-30
4000, 36 months,22.91,154.66,E,E1,MORTGAGE,240000.0,2017-09-01,Charged Off,vacation,NJ,8.8,0.0,1.0,1386.85,759.16,627.69,0.0,0.0,0.0,2017,1,3240.84,3240.84,High Risk,-2613.15,200k+,0-10
13200, 60 months,12.99,300.28,C,C2,MORTGAGE,65000.0,2016-03-01,Current,debt_consolidation,AZ,39.2,0.0,0.0,10500.27,6654.28,3845.99,0.0,0.0,0.0,2016,0,6545.72,0.0,Medium Risk,3845.99,40k-80k,30-40
20000, 36 months,11.99,664.2,C,C1,MORTGAGE,300000.0,2016-02-01,Current,home_improvement,CA,9.04,0.0,1.0,23949.62,19997.79,3951.83,0.0,0.0,1.0,2016,0,2.209999999999127,0.0,Medium Risk,3951.83,200k+,0-10
12000, 60 months,13.33,275.07,C,C3,RENT,60000.0,2015-07-01,Fully Paid,debt_consolidation,FL,11.75,1.0,0.0,15642.8522590134,12000.0,3642.85,0.0,0.0,0.0,2015,0,0.0,0.0,Medium Risk,3642.85,40k-80k,10-20
25000, 60 months,10.99,543.44,B,B4,RENT,60000.0,2015-10-01,Fully Paid,credit_card,PA,12.36,0.0,2.0,31659.7811270484,25000.0,6659.78,0.0,0.0,0.0,2015,0,0.0,0.0,Low Risk,6659.78,40k-80k,10-20
12000, 60 months,16.55,295.34,D,D2,RENT,102000.0,2015-10-01,Charged Off,credit_card,VA,8.28,0.0,3.0,8768.62,3485.33,3296.46,0.0,1986.83,1.0,2015,1,8514.67,6527.84,High Risk,-3231.38,80k-120k,0-10
15000, 36 months,10.99,491.01,B,B3,RENT,65000.0,2014-05-01,Fully Paid,debt_consolidation,FL,24.06,3.0,2.0,17605.9557009327,15000.0,2605.96,0.0,0.0,0.0,2014,0,0.0,0.0,Low Risk,2605.96,40k-80k,20-30
28000, 60 months,17.76,707.37,D,D1,MORTGAGE,77000.0,2013-12-01,Charged Off,debt_consolidation,MN,11.94,1.0,0.0,8012.0,1823.44,2419.06,0.0,3769.5,0.0,2013,1,26176.56,22407.06,High Risk,-19988.0,40k-80k,10-20
10000, 36 months,20.0,371.64,D,D4,RENT,76000.0,2017-12-01,Fully Paid,credit_card,MA,20.03,0.0,0.0,10467.9325772906,10000.0,467.93,0.0,0.0,0.0,2017,0,0.0,0.0,High Risk,467.93,40k-80k,20-30
15000, 60 months,9.93,318.19,B,B2,RENT,27336.0,2017-12-01,Current,house,FL,16.77,0.0,0.0,5796.38,4272.45,1523.93,0.0,0.0,0.0,2017,0,10727.55,0.0,Low Risk,1523.93,<40k,10-20
7000, 36 months,10.49,227.49,B,B2,MORTGAGE,63000.0,2017-01-01,Current,debt_consolidation,MD,12.17,0.0,0.0,5683.17,4624.26,1058.91,0.0,0.0,0.0,2017,0,2375.74,0.0,Low Risk,1058.91,40k-80k,10-20
9500, 36 months,7.97,297.57,A,A5,RENT,22606.0,2017-11-01,Current,debt_consolidation,CA,16.89,0.0,1.0,5745.69,5030.29,715.4,0.0,0.0,1.0,2017,0,4469.71,0.0,Low Risk,715.4,<40k,10-20
2200, 36 months,7.49,68.43,A,A4,RENT,58000.0,2016-10-01,Fully Paid,medical,MI,16.16,0.0,0.0,2287.5686656812,2200.0,87.57,0.0,0.0,0.0,2016,0,0.0,0.0,Low Risk,87.57,40k-80k,10-20
5000, 36 months,14.65,172.48,C,C5,RENT,10000.0,2015-07-01,Fully Paid,moving,OH,25.69,0.0,0.0,6099.727959422,5000.0,1099.73,0.0,0.0,0.0,2015,0,0.0,0.0,High Risk,1099.73,<40k,20-30
20225, 36 months,10.15,654.03,B,B2,MORTGAGE,45000.0,2014-08-01,Fully Paid,debt_consolidation,TN,24.03,0.0,0.0,23567.9441420282,20225.0,3342.94,0.0,0.0,0.0,2014,0,0.0,0.0,Low Risk,3342.94,40k-80k,20-30
10000, 36 months,11.99,332.1,B,B5,OWN,80000.0,2017-11-01,Current,debt_consolidation,NV,14.01,1.0,0.0,4642.74,3470.35,1172.39,0.0,0.0,1.0,2017,0,6529.65,0.0,Medium Risk,1172.39,40k-80k,10-20
10000, 36 months,10.49,324.98,B,B2,RENT,50000.0,2017-03-01,In Grace Period,debt_consolidation,FL,5.47,0.0,0.0,7161.16,5735.27,1425.89,0.0,0.0,0.0,2017,0,4264.73,0.0,Low Risk,1425.89,40k-80k,0-10
4000, 36 months,10.91,130.79,B,B4,MORTGAGE,85000.0,2017-08-01,Current,debt_consolidation,ND,22.93,0.0,0.0,2351.8,1837.56,514.24,0.0,0.0,0.0,2017,0,2162.44,0.0,Low Risk,514.24,80k-120k,20-30
20625, 36 months,9.17,657.51,B,B2,RENT,45000.0,2015-05-01,Fully Paid,debt_consolidation,CA,27.63,0.0,0.0,23690.0535624526,20625.0,3065.05,0.0,0.0,0.0,2015,0,0.0,0.0,Low Risk,3065.05,40k-80k,20-30
3600, 36 months,21.0,135.64,E,E2,RENT,60000.0,2013-04-01,Fully Paid,other,VA,21.14,0.0,3.0,4879.0099993599,3600.0,1279.01,0.0,0.0,0.0,2013,0,0.0,0.0,High Risk,1279.01,40k-80k,20-30
3025, 36 months,9.93,97.51,B,B2,RENT,55000.0,2017-12-01,Current,major_purchase,GA,19.03,0.0,0.0,1361.8,1071.12,290.68,0.0,0.0,0.0,2017,0,1953.88,0.0,Low Risk,290.68,40k-80k,10-20
7000, 36 months,16.99,249.54,D,D1,MORTGAGE,327000.0,2017-03-01,Current,vacation,CT,25.83,1.0,0.0,5726.21,4056.18,1670.03,0.0,0.0,0.0,2017,0,2943.82,0.0,High Risk,1670.03,200k+,20-30
10000, 36 months,18.99,366.51,D,D3,RENT,30000.0,2017-04-01,Fully Paid,debt_consolidation,CO,19.32,0.0,1.0,10794.297688944,10000.0,794.3,0.0,0.0,1.0,2017,0,0.0,0.0,High Risk,794.3,<40k,10-20
32000, 60 months,22.47,892.38,E,E5,MORTGAGE,150000.0,2013-02-01,Fully Paid,credit_card,AR,12.58,0.0,4.0,50042.64,32000.0,18042.64,0.0,0.0,0.0,2013,0,0.0,0.0,High Risk,18042.64,120k-200k,10-20
9600, 36 months,7.21,297.35,A,A3,MORTGAGE,54000.0,2017-10-01,Current,debt_consolidation,NV,22.0,0.0,0.0,4749.91,4012.46,737.45,0.0,0.0,1.0,2017,0,5587.54,0.0,Low Risk,737.45,40k-80k,20-30
21000, 60 months,13.33,481.37,C,C3,MORTGAGE,52500.0,2015-10-01,Fully Paid,debt_consolidation,TX,26.03,0.0,0.0,23156.44,21000.0,2156.44,0.0,0.0,0.0,2015,0,0.0,0.0,Medium Risk,2156.44,40k-80k,20-30
8000, 36 months,10.99,261.88,B,B4,OWN,62000.0,2015-05-01,Fully Paid,major_purchase,NY,20.9,0.0,0.0,9417.5644521105,8000.0,1417.56,0.0,0.0,0.0,2015,0,0.0,0.0,Low Risk,1417.56,40k-80k,20-30
23500, 60 months,28.72,741.94,F,F1,MORTGAGE,56000.0,2017-06-01,Current,debt_consolidation,TN,7.91,0.0,2.0,14763.81,4536.52,10227.29,0.0,0.0,0.0,2017,0,18963.48,0.0,High Risk,10227.29,40k-80k,0-10
28000, 36 months,14.48,963.52,C,C5,MORTGAGE,68000.0,2015-12-01,Fully Paid,debt_consolidation,NY,28.51,1.0,0.0,34720.005398633,28000.0,6623.65,96.36,0.0,0.0,2015,0,0.0,0.0,Medium Risk,6623.65,40k-80k,20-30
7475, 36 months,17.99,270.21,D,D2,RENT,22000.0,2016-08-01,Late (31-120 days),debt_consolidation,MN,13.42,0.0,0.0,7550.94,5452.5,2098.44,0.0,0.0,0.0,2016,0,2022.5,0.0,High Risk,2098.44,<40k,10-20
24000, 60 months,12.69,542.28,C,C2,MORTGAGE,110000.0,2015-08-01,Charged Off,debt_consolidation,FL,11.78,0.0,1.0,8081.88,3346.5,2601.66,0.0,2133.72,0.0,2015,1,20653.5,18519.78,Medium Risk,-15918.119999999999,80k-120k,10-20
10000, 36 months,12.99,336.9,C,C1,RENT,47000.0,2014-10-01,Fully Paid,debt_consolidation,NY,16.88,0.0,1.0,11423.1,10000.0,1423.1,0.0,0.0,0.0,2014,0,0.0,0.0,Medium Risk,1423.1,40k-80k,10-20
5000, 36 months,5.32,150.58,A,A1,RENT,140000.0,2015-11-01,Fully Paid,medical,CA,14.6,0.0,0.0,5415.2970642958,5000.0,415.3,0.0,0.0,0.0,2015,0,0.0,0.0,Low Risk,415.3,120k-200k,10-20
12000, 36 months,8.18,377.04,B,B1,MORTGAGE,34320.0,2015-04-01,Fully Paid,debt_consolidation,RI,15.7,0.0,2.0,13563.0352652523,12000.0,1563.04,0.0,0.0,0.0,2015,0,0.0,0.0,Low Risk,1563.04,<40k,10-20
13600, 60 months,14.31,318.64,C,C4,OWN,70000.0,2015-01-01,Charged Off,debt_consolidation,TX,4.08,0.0,1.0,11460.23,6983.77,4476.46,0.0,0.0,1.0,2015,1,6616.23,6616.23,Medium Risk,-2139.7699999999995,40k-80k,0-10
24600, 36 months,7.89,769.63,A,A5,MORTGAGE,80000.0,2016-03-01,Fully Paid,debt_consolidation,NJ,17.15,0.0,0.0,26465.939046874,24600.0,1865.94,0.0,0.0,0.0,2016,0,0.0,0.0,Low Risk,1865.94,40k-80k,10-20
8200, 36 months,12.99,276.26,C,C2,RENT,51500.0,2014-11-01,Fully Paid,debt_consolidation,MO,6.22,0.0,1.0,8695.79,8200.0,495.79,0.0,0.0,0.0,2014,0,0.0,0.0,Medium Risk,495.79,40k-80k,0-10
6100, 36 months,10.99,199.68,B,B2,RENT,31000.0,2014-03-01,Fully Paid,debt_consolidation,MI,25.86,1.0,0.0,7187.4594300028,6100.0,1087.46,0.0,0.0,0.0,2014,0,0.0,0.0,Low Risk,1087.46,<40k,20-30
15000, 60 months,22.74,420.62,E,E1,RENT,55000.0,2017-04-01,Fully Paid,debt_consolidation,CA,19.99,0.0,0.0,18616.1919530923,15000.0,3616.19,0.0,0.0,0.0,2017,0,0.0,0.0,High Risk,3616.19,40k-80k,10-20
9000, 36 months,9.93,290.11,B,B2,RENT,61000.0,2017-08-01,Current,credit_card,MN,13.4,0.0,0.0,5217.02,4165.85,1051.17,0.0,0.0,0.0,2017,0,4834.15,0.0,Low Risk,1051.17,40k-80k,10-20
10000, 36 months,12.74,335.69,C,C1,MORTGAGE,40000.0,2017-03-01,Current,debt_consolidation,SC,18.26,2.0,0.0,7735.73,5942.78,1792.95,0.0,0.0,0.0,2017,0,4057.2200000000003,0.0,Medium Risk,1792.95,<40k,10-20
24000, 60 months,16.99,596.34,D,D3,MORTGAGE,84500.0,2015-07-01,Fully Paid,home_improvement,PA,13.89,4.0,0.0,33166.5818592468,24000.0,9166.58,0.0,0.0,0.0,2015,0,0.0,0.0,High Risk,9166.58,80k-120k,10-20
12000, 60 months,12.69,271.14,C,C2,RENT,40000.0,2015-08-01,Current,debt_consolidation,AZ,13.29,0.0,2.0,11370.96,7577.31,3793.65,0.0,0.0,0.0,2015,0,4422.69,0.0,Medium Risk,3793.65,<40k,10-20
24000, 60 months,15.8,581.09,C,C3,RENT,56000.0,2013-01-01,Fully Paid,debt_consolidation,NY,25.36,0.0,0.0,34865.0420300255,24000.0,10865.04,0.0,0.0,0.0,2013,0,0.0,0.0,High Risk,10865.04,40k-80k,20-30
8400, 36 months,17.09,299.86,D,D1,RENT,51039.0,2017-07-01,Charged Off,credit_card,NC,30.61,0.0,1.0,4428.28,736.47,514.81,0.0,3177.0,0.0,2017,1,7663.53,4486.53,High Risk,-3971.72,40k-80k,30-40
21000, 36 months,5.32,632.42,A,A1,MORTGAGE,170000.0,2016-03-01,Fully Paid,debt_consolidation,MD,6.26,1.0,0.0,21473.1,21000.0,473.1,0.0,0.0,0.0,2016,0,0.0,0.0,Low Risk,473.1,120k-200k,0-10
14400, 36 months,9.67,462.42,B,B1,OWN,105000.0,2014-04-01,Fully Paid,debt_consolidation,NJ,16.93,0.0,3.0,16417.8582077271,14400.0,2017.86,0.0,0.0,0.0,2014,0,0.0,0.0,Low Risk,2017.86,80k-120k,10-20
12000, 36 months,9.16,382.5,B,B2,RENT,60000.0,2016-05-01,Fully Paid,debt_consolidation,FL,24.86,0.0,2.0,13664.0592066166,12000.0,1664.06,0.0,0.0,1.0,2016,0,0.0,0.0,Low Risk,1664.06,40k-80k,20-30
15000, 36 months,14.49,516.25,C,C4,MORTGAGE,75000.0,2016-07-01,Charged Off,home_improvement,VA,8.71,0.0,0.0,12216.43,8384.2,2949.15,0.0,883.08,0.0,2016,1,6615.799999999999,5732.719999999999,Medium Risk,-2783.5699999999993,40k-80k,0-10
19200, 60 months,17.86,486.1,D,D5,RENT,75000.0,2014-12-01,Charged Off,debt_consolidation,NJ,31.77,2.0,3.0,21381.97,11882.32,9169.65,0.0,330.0,0.0,2014,1,7317.68,6987.68,High Risk,2181.9699999999993,40k-80k,30-40
15000, 36 months,6.39,458.99,A,A2,MORTGAGE,60000.0,2015-05-01,Fully Paid,debt_consolidation,WV,13.96,0.0,0.0,16518.098540366,15000.0,1518.1,0.0,0.0,0.0,2015,0,0.0,0.0,Low Risk,1518.1,40k-80k,10-20
35000, 36 months,8.9,1111.37,A,A5,MORTGAGE,215000.0,2013-12-01,Fully Paid,debt_consolidation,MD,4.02,0.0,1.0,40009.0082735792,35000.0,5009.01,0.0,0.0,0.0,2013,0,0.0,0.0,Low Risk,5009.01,200k+,0-10
20000, 36 months,19.99,743.17,D,D4,OWN,50000.0,2017-05-01,Charged Off,credit_card,CA,31.08,0.0,0.0,14098.02,9075.97,5022.05,0.0,0.0,0.0,2017,1,10924.03,10924.03,High Risk,-5901.9800000000005,40k-80k,30-40
10000, 36 months,9.17,318.79,B,B2,RENT,34000.0,2015-11-01,Fully Paid,debt_consolidation,IL,17.01,0.0,0.0,11387.0517703523,10000.0,1387.05,0.0,0.0,1.0,2015,0,0.0,0.0,Low Risk,1387.05,<40k,10-20
25000, 36 months,9.17,796.98,B,B2,MORTGAGE,110000.0,2015-07-01,Fully Paid,debt_consolidation,MN,6.77,1.0,0.0,25745.22,25000.0,745.22,0.0,0.0,0.0,2015,0,0.0,0.0,Low Risk,745.22,80k-120k,0-10
12000, 60 months,26.3,361.42,E,E5,RENT,80000.0,2017-09-01,Fully Paid,debt_consolidation,IN,5.72,0.0,0.0,15195.5538471348,12000.0,3195.55,0.0,0.0,0.0,2017,0,0.0,0.0,High Risk,3195.55,40k-80k,0-10
25000, 60 months,15.31,598.83,C,C2,MORTGAGE,115000.0,2013-04-01,Fully Paid,debt_consolidation,CA,9.57,0.0,0.0,30403.1337599593,25000.0,5403.13,0.0,0.0,1.0,2013,0,0.0,0.0,High Risk,5403.13,80k-120k,0-10
18000, 60 months,26.3,542.13,E,E5,OWN,50000.0,2017-08-01,Late (31-120 days),other,WI,13.01,0.0,1.0,7597.68,2384.92,5212.76,0.0,0.0,1.0,2017,0,15615.08,0.0,High Risk,5212.76,40k-80k,10-20
30000, 60 months,16.99,745.42,D,D1,MORTGAGE,130000.0,2013-12-01,Fully Paid,debt_consolidation,CA,15.24,0.0,0.0,38354.2699899752,30000.0,8354.27,0.0,0.0,0.0,2013,0,0.0,0.0,High Risk,8354.27,120k-200k,10-20
6000, 36 months,5.32,180.69,A,A1,MORTGAGE,140000.0,2017-07-01,Current,credit_card,RI,8.07,0.0,1.0,3431.34,3047.51,383.83,0.0,0.0,0.0,2017,0,2952.49,0.0,Low Risk,383.83,120k-200k,0-10
6000, 36 months,8.19,188.55,A,A5,RENT,65000.0,2014-11-01,Fully Paid,other,VA,7.41,0.0,2.0,6658.5907457543,6000.0,658.59,0.0,0.0,0.0,2014,0,0.0,0.0,Low Risk,658.59,40k-80k,0-10
7475, 36 months,26.57,303.45,F,F5,RENT,22000.0,2016-04-01,Fully Paid,debt_consolidation,CA,29.1,2.0,0.0,7970.9300000767,7475.0,495.93,0.0,0.0,0.0,2016,0,0.0,0.0,High Risk,495.93,<40k,20-30
19250, 36 months,23.99,755.14,E,E2,OWN,87450.0,2017-04-01,Charged Off,other,NC,14.3,0.0,1.0,9945.11,5432.49,4512.62,0.0,0.0,0.0,2017,1,13817.51,13817.51,High Risk,-9304.89,80k-120k,10-20
12000, 36 months,17.1,428.44,C,C5,MORTGAGE,44615.0,2013-10-01,Charged Off,credit_card,MI,30.53,0.0,0.0,7711.92,5240.14,2471.62,0.0,0.16,1.0,2013,1,6759.86,6759.7,High Risk,-4288.08,40k-80k,30-40
6000, 36 months,12.99,202.14,C,C1,RENT,33000.0,2014-05-01,Fully Paid,debt_consolidation,MI,30.55,0.0,0.0,7276.8131638625,6000.0,1276.81,0.0,0.0,0.0,2014,0,0.0,0.0,Medium Risk,1276.81,<40k,30-40
35000, 36 months,12.74,1174.91,C,C1,MORTGAGE,65000.0,2016-12-01,Fully Paid,debt_consolidation,TX,30.04,0.0,0.0,37610.9718056467,35000.0,2610.97,0.0,0.0,0.0,2016,0,0.0,0.0,Medium Risk,2610.97,40k-80k,30-40
